City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Description
0,Jamestown,US,42.097,-79.2353,42.44,72,0,3.44,clear sky
1,Chokurdakh,RU,70.6333,147.9167,-39.15,100,94,3.67,overcast clouds
2,Coahuayana,MX,18.7333,-103.6833,72.09,75,100,1.7,overcast clouds
3,Avera,US,33.194,-82.5271,60.31,74,7,6.78,clear sky
4,Rocha,UY,-34.4833,-54.3333,60.22,89,4,5.91,clear sky
5,Clarence Town,AU,-32.5833,151.7833,89.62,29,0,5.37,clear sky
6,Punta Arenas,CL,-53.15,-70.9167,46.51,71,40,9.22,scattered clouds
7,Albany,US,42.6001,-73.9662,36.73,86,56,2.71,broken clouds
8,Hilo,US,19.7297,-155.09,80.33,73,75,9.22,broken clouds
9,Cidreira,BR,-30.1811,-50.2056,70.92,96,11,8.19,few clouds
10,Barrow,US,71.2906,-156.7887,3.22,85,100,20.71,mist
11,Avarua,CK,-21.2078,-159.775,80.65,89,75,11.5,light intensity drizzle
12,Hithadhoo,MV,-0.6,73.0833,80.28,68,35,10.33,scattered clouds
13,Ushuaia,AR,-54.8,-68.3,42.46,81,75,25.32,broken clouds
14,Paamiut,GL,61.994,-49.6678,2.44,69,15,8.66,few clouds
15,Greenfield,US,42.9614,-88.0126,36.9,88,100,6.91,mist
16,Tasiilaq,GL,65.6145,-37.6368,3.36,63,22,6.53,few clouds
17,Khatanga,RU,71.9667,102.5,-8.63,97,100,10.58,light snow
18,Ridge,US,40.894,-72.8959,51.22,88,100,0.0,overcast clouds
19,Yuzhne,UA,46.6221,31.1013,44.8,86,30,11.88,scattered clouds
20,Killybegs,IE,54.6333,-8.45,44.82,87,100,29.44,overcast clouds
21,Nikolskoye,RU,59.7035,30.7861,26.49,93,100,5.37,light snow
22,Flinders,AU,-34.5833,150.8552,84.06,69,18,8.01,few clouds
23,Baoro,CF,5.6667,15.9667,65.79,38,1,5.26,clear sky
24,Palora,EC,-1.7,-77.9333,64.89,96,96,1.32,overcast clouds
25,Norman Wells,CA,65.282,-126.8329,8.64,72,75,13.8,light snow
26,Bredasdorp,ZA,-34.5322,20.0403,66.7,94,62,4.47,broken clouds
27,Itapora,BR,-22.0799,-54.7874,69.78,97,100,4.23,moderate rain
28,Rikitea,PF,-23.1203,-134.9692,78.66,73,18,11.41,few clouds
29,Colares,PT,38.7992,-9.4469,51.8,80,3,5.01,clear sky
30,Butaritari,KI,3.0707,172.7902,80.74,74,100,10.18,overcast clouds
31,Puerto Rondon,CO,6.2805,-71.1,75.31,72,7,5.41,clear sky
32,Great Yarmouth,GB,52.6083,1.7305,36.01,88,2,8.43,clear sky
33,Zlotow,PL,53.3635,17.0408,47.35,76,98,14.67,overcast clouds
34,Vaini,TO,-21.2,-175.2,82.56,89,40,11.5,scattered clouds
35,Saint-Philippe,RE,-21.3585,55.7679,74.79,78,79,4.81,broken clouds
36,Brae,GB,60.3964,-1.353,40.23,75,22,7.78,few clouds
37,Sao Filipe,CV,14.8961,-24.4956,76.39,57,59,7.4,broken clouds
